ds,y
09/03/2022,0
08/03/2022,3
07/03/2022,5
06/03/2022,14
05/03/2022,11
04/03/2022,19
03/03/2022,25
02/03/2022,28
01/03/2022,25
28/02/2022,39
27/02/2022,29
26/02/2022,45
25/02/2022,43
24/02/2022,42
23/02/2022,36
22/02/2022,46
21/02/2022,51
20/02/2022,37
19/02/2022,46
18/02/2022,46
17/02/2022,58
16/02/2022,54
15/02/2022,51
14/02/2022,65
13/02/2022,48
12/02/2022,32
11/02/2022,48
10/02/2022,45
09/02/2022,38
08/02/2022,57
07/02/2022,58
06/02/2022,50
05/02/2022,56
04/02/2022,51
03/02/2022,60
02/02/2022,46
01/02/2022,53
31/01/2022,41
30/01/2022,42
29/01/2022,45
28/01/2022,50
27/01/2022,33
26/01/2022,50
25/01/2022,39
24/01/2022,40
23/01/2022,35
22/01/2022,34
21/01/2022,42
20/01/2022,31
19/01/2022,33
18/01/2022,32
17/01/2022,35
16/01/2022,36
15/01/2022,23
14/01/2022,29
13/01/2022,20
12/01/2022,21
11/01/2022,30
10/01/2022,11
09/01/2022,17
08/01/2022,22
07/01/2022,17
06/01/2022,20
05/01/2022,17
04/01/2022,18
03/01/2022,20
02/01/2022,12
01/01/2022,11
31/12/2021,8
30/12/2021,10
29/12/2021,7
28/12/2021,11
27/12/2021,11
26/12/2021,4
25/12/2021,8
24/12/2021,8
23/12/2021,7
22/12/2021,4
21/12/2021,6
20/12/2021,7
19/12/2021,6
18/12/2021,12
17/12/2021,7
16/12/2021,10
15/12/2021,5
14/12/2021,3
13/12/2021,6
12/12/2021,3
11/12/2021,8
10/12/2021,3
09/12/2021,6
08/12/2021,5
07/12/2021,8
06/12/2021,5
05/12/2021,6
04/12/2021,4
03/12/2021,2
02/12/2021,4
01/12/2021,2
30/11/2021,5
29/11/2021,6
28/11/2021,2
27/11/2021,2
26/11/2021,2
25/11/2021,0
24/11/2021,2
23/11/2021,4
22/11/2021,3
21/11/2021,3
20/11/2021,2
19/11/2021,6
18/11/2021,4
17/11/2021,4
16/11/2021,5
15/11/2021,6
14/11/2021,3
13/11/2021,2
12/11/2021,6
11/11/2021,8
10/11/2021,2
09/11/2021,8
08/11/2021,2
07/11/2021,3
06/11/2021,7
05/11/2021,4
04/11/2021,2
03/11/2021,10
02/11/2021,5
01/11/2021,2
31/10/2021,4
30/10/2021,2
29/10/2021,4
28/10/2021,6
27/10/2021,4
26/10/2021,4
25/10/2021,6
24/10/2021,1
23/10/2021,3
22/10/2021,3
21/10/2021,4
20/10/2021,3
19/10/2021,3
18/10/2021,6
17/10/2021,5
16/10/2021,6
15/10/2021,1
14/10/2021,4
13/10/2021,7
12/10/2021,4
11/10/2021,5
10/10/2021,5
09/10/2021,6
08/10/2021,8
07/10/2021,8
06/10/2021,11
05/10/2021,6
04/10/2021,5
03/10/2021,9
02/10/2021,6
01/10/2021,5
30/09/2021,5
29/09/2021,7
28/09/2021,4
27/09/2021,3
26/09/2021,6
25/09/2021,4
24/09/2021,6
23/09/2021,6
22/09/2021,10
21/09/2021,7
20/09/2021,4
19/09/2021,6
18/09/2021,3
17/09/2021,7
16/09/2021,12
15/09/2021,8
14/09/2021,7
13/09/2021,8
12/09/2021,8
11/09/2021,4
10/09/2021,11
09/09/2021,8
08/09/2021,10
07/09/2021,4
06/09/2021,4
05/09/2021,6
04/09/2021,3
03/09/2021,3
02/09/2021,6
01/09/2021,2
31/08/2021,2
30/08/2021,3
29/08/2021,5
28/08/2021,1
27/08/2021,0
26/08/2021,1
25/08/2021,3
24/08/2021,5
23/08/2021,5
22/08/2021,2
21/08/2021,1
20/08/2021,2
19/08/2021,2
18/08/2021,1
17/08/2021,3
16/08/2021,0
15/08/2021,1
14/08/2021,1
13/08/2021,2
12/08/2021,1
11/08/2021,0
10/08/2021,1
09/08/2021,0
08/08/2021,2
07/08/2021,0
06/08/2021,3
05/08/2021,2
04/08/2021,0
03/08/2021,0
02/08/2021,0
01/08/2021,0
31/07/2021,0
30/07/2021,1
29/07/2021,2
28/07/2021,1
27/07/2021,0
26/07/2021,0
25/07/2021,0
24/07/2021,0
23/07/2021,1
22/07/2021,1
21/07/2021,1
20/07/2021,0
19/07/2021,0
18/07/2021,0
17/07/2021,1
16/07/2021,0
15/07/2021,1
14/07/2021,0
13/07/2021,0
12/07/2021,0
11/07/2021,1
10/07/2021,0
09/07/2021,0
08/07/2021,0
07/07/2021,0
06/07/2021,2
05/07/2021,0
04/07/2021,0
03/07/2021,2
02/07/2021,1
01/07/2021,1
30/06/2021,1
29/06/2021,1
28/06/2021,2
27/06/2021,0
26/06/2021,0
25/06/2021,2
24/06/2021,2
23/06/2021,0
22/06/2021,3
21/06/2021,2
20/06/2021,3
19/06/2021,2
18/06/2021,3
17/06/2021,1
16/06/2021,2
15/06/2021,2
14/06/2021,4
13/06/2021,0
12/06/2021,2
11/06/2021,1
10/06/2021,3
09/06/2021,7
08/06/2021,4
07/06/2021,5
06/06/2021,3
05/06/2021,3
04/06/2021,14
03/06/2021,6
02/06/2021,6
01/06/2021,1
31/05/2021,6
30/05/2021,8
29/05/2021,3
28/05/2021,8
27/05/2021,7
26/05/2021,9
25/05/2021,8
24/05/2021,4
23/05/2021,11
22/05/2021,10
21/05/2021,12
20/05/2021,12
19/05/2021,7
18/05/2021,9
17/05/2021,9
16/05/2021,13
15/05/2021,12
14/05/2021,24
13/05/2021,19
12/05/2021,11
11/05/2021,10
10/05/2021,22
09/05/2021,16
08/05/2021,19
07/05/2021,13
06/05/2021,10
05/05/2021,17
04/05/2021,13
03/05/2021,19
02/05/2021,12
01/05/2021,12
30/04/2021,17
29/04/2021,19
28/04/2021,21
27/04/2021,23
26/04/2021,11
25/04/2021,20
24/04/2021,13
23/04/2021,17
22/04/2021,16
21/04/2021,24
20/04/2021,26
19/04/2021,15
18/04/2021,16
17/04/2021,20
16/04/2021,15
15/04/2021,25
14/04/2021,28
13/04/2021,21
12/04/2021,16
11/04/2021,17
10/04/2021,11
09/04/2021,24
08/04/2021,22
07/04/2021,22
06/04/2021,13
05/04/2021,24
04/04/2021,14
03/04/2021,18
02/04/2021,22
01/04/2021,25
31/03/2021,24
30/03/2021,16
29/03/2021,23
28/03/2021,17
27/03/2021,19
26/03/2021,22
25/03/2021,22
24/03/2021,16
23/03/2021,14
22/03/2021,16
21/03/2021,18
20/03/2021,25
19/03/2021,11
18/03/2021,18
17/03/2021,19
16/03/2021,15
15/03/2021,21
14/03/2021,22
13/03/2021,19
12/03/2021,19
11/03/2021,16
10/03/2021,21
09/03/2021,20
08/03/2021,24
07/03/2021,17
06/03/2021,12
05/03/2021,15
04/03/2021,19
03/03/2021,19
02/03/2021,23
01/03/2021,24
28/02/2021,25
27/02/2021,19
26/02/2021,18
25/02/2021,20
24/02/2021,26
23/02/2021,13
22/02/2021,25
21/02/2021,21
20/02/2021,29
19/02/2021,25
18/02/2021,18
17/02/2021,34
16/02/2021,22
15/02/2021,23
14/02/2021,28
13/02/2021,25
12/02/2021,28
11/02/2021,33
10/02/2021,27
09/02/2021,25
08/02/2021,39
07/02/2021,29
06/02/2021,33
05/02/2021,36
04/02/2021,30
03/02/2021,52
02/02/2021,43
01/02/2021,46
31/01/2021,39
30/01/2021,57
29/01/2021,58
28/01/2021,55
27/01/2021,54
26/01/2021,67
25/01/2021,59
24/01/2021,51
23/01/2021,64
22/01/2021,59
21/01/2021,88
20/01/2021,87
19/01/2021,92
18/01/2021,72
17/01/2021,61
16/01/2021,83
15/01/2021,90
14/01/2021,95
13/01/2021,91
12/01/2021,89
11/01/2021,89
10/01/2021,92
