ds,y
9/3/2022,8
8/3/2022,12
7/3/2022,23
6/3/2022,16
5/3/2022,24
4/3/2022,29
3/3/2022,27
2/3/2022,27
1/3/2022,32
28/02/2022,26
27/02/2022,27
26/02/2022,26
25/02/2022,34
24/02/2022,26
23/02/2022,23
22/02/2022,26
21/02/2022,27
20/02/2022,19
19/02/2022,23
18/02/2022,19
17/02/2022,25
16/02/2022,22
15/02/2022,26
14/02/2022,28
13/02/2022,18
12/2/2022,30
11/2/2022,29
10/2/2022,21
9/2/2022,15
8/2/2022,14
7/2/2022,24
6/2/2022,17
5/2/2022,21
4/2/2022,16
3/2/2022,22
2/2/2022,17
1/2/2022,11
31/01/2022,11
30/01/2022,15
29/01/2022,12
28/01/2022,18
27/01/2022,15
26/01/2022,9
25/01/2022,10
24/01/2022,12
23/01/2022,15
22/01/2022,8
21/01/2022,14
20/01/2022,5
19/01/2022,11
18/01/2022,5
17/01/2022,5
16/01/2022,9
15/01/2022,8
14/01/2022,11
13/01/2022,4
12/1/2022,8
11/1/2022,9
10/1/2022,11
9/1/2022,12
8/1/2022,7
7/1/2022,9
6/1/2022,6
5/1/2022,8
4/1/2022,10
3/1/2022,16
2/1/2022,10
1/1/2022,8
31/12/2021,11
30/12/2021,24
29/12/2021,14
28/12/2021,16
27/12/2021,18
26/12/2021,15
25/12/2021,15
24/12/2021,9
23/12/2021,17
22/12/2021,15
21/12/2021,21
20/12/2021,18
19/12/2021,28
18/12/2021,23
17/12/2021,25
16/12/2021,26
15/12/2021,29
14/12/2021,41
13/12/2021,40
12/12/2021,34
11/12/2021,32
10/12/2021,44
9/12/2021,44
8/12/2021,51
7/12/2021,54
6/12/2021,45
5/12/2021,42
4/12/2021,51
3/12/2021,59
2/12/2021,59
1/12/2021,62
30/11/2021,39
29/11/2021,66
28/11/2021,56
27/11/2021,47
26/11/2021,65
25/11/2021,60
24/11/2021,48
23/11/2021,53
22/11/2021,55
21/11/2021,54
20/11/2021,39
19/11/2021,50
18/11/2021,44
17/11/2021,46
16/11/2021,38
15/11/2021,37
14/11/2021,41
13/11/2021,48
12/11/2021,45
11/11/2021,51
10/11/2021,25
9/11/2021,29
8/11/2021,27
7/11/2021,19
6/11/2021,21
5/11/2021,27
4/11/2021,21
3/11/2021,25
2/11/2021,17
1/11/2021,20
31/10/2021,13
30/10/2021,16
29/10/2021,10
28/10/2021,11
27/10/2021,15
26/10/2021,17
25/10/2021,10
24/10/2021,15
23/10/2021,11
22/10/2021,8
21/10/2021,11
20/10/2021,10
19/10/2021,11
18/10/2021,6
17/10/2021,15
16/10/2021,16
15/10/2021,7
14/10/2021,10
13/10/2021,6
12/10/2021,12
11/10/2021,11
10/10/2021,8
9/10/2021,9
8/10/2021,5
7/10/2021,10
6/10/2021,7
5/10/2021,13
4/10/2021,7
3/10/2021,7
2/10/2021,12
1/10/2021,8
30/09/2021,6
29/09/2021,7
28/09/2021,13
27/09/2021,5
26/09/2021,9
25/09/2021,9
24/09/2021,8
23/09/2021,10
22/09/2021,11
21/09/2021,9
20/09/2021,11
19/09/2021,15
18/09/2021,7
17/09/2021,6
16/09/2021,7
15/09/2021,9
14/09/2021,13
13/09/2021,6
12/9/2021,2
11/9/2021,6
10/9/2021,9
9/9/2021,4
8/9/2021,7
7/9/2021,8
6/9/2021,3
5/9/2021,8
4/9/2021,8
3/9/2021,5
2/9/2021,7
1/9/2021,4
31/08/2021,3
30/08/2021,2
29/08/2021,3
28/08/2021,7
27/08/2021,6
26/08/2021,2
25/08/2021,4
24/08/2021,2
23/08/2021,3
22/08/2021,2
21/08/2021,2
20/08/2021,1
19/08/2021,2
18/08/2021,0
17/08/2021,0
16/08/2021,0
15/08/2021,0
14/08/2021,2
13/08/2021,2
12/8/2021,2
11/8/2021,0
10/8/2021,1
9/8/2021,1
8/8/2021,1
7/8/2021,1
6/8/2021,1
5/8/2021,1
4/8/2021,2
3/8/2021,1
2/8/2021,2
1/8/2021,1
31/07/2021,1
30/07/2021,0
29/07/2021,1
28/07/2021,0
27/07/2021,0
26/07/2021,1
25/07/2021,2
24/07/2021,1
23/07/2021,1
22/07/2021,1
21/07/2021,0
20/07/2021,0
19/07/2021,0
18/07/2021,0
17/07/2021,0
